month,Open,Low,High,Close,Volume,PE,month1,Returns,monthN,year,MovingAvg,UB,LB,STD,pct_ma,MovingAvgReturn,line
2014-01,54.7,51.85,63.95,61.08,708523860.0,101.8,2014-01-01,,January,2014,,,,,,,0
2014-02,61.82,60.7,71.1,68.98,472602014.0,114.96666666666668,2014-02-01,0.12933857236411272,February,2014,65.03,117.61236260197424,12.447637398025755,,,,0
2014-03,68.88,57.98,72.75,60.88,696647639.0,101.46666666666667,2014-03-01,-0.11742534067845756,March,2014,64.93,117.51236260197425,12.34763739802576,,0.005956615842827584,0.07071067811865074,0
2014-04,61.2415,55.41,65.04,59.49,1010749172.0,99.15,2014-04-01,-0.022831800262812063,April,2014,60.18500000000001,112.76736260197426,7.602637398025763,,-0.07012857047063481,3.3552216767301686,0
2014-05,61.1101,56.38,64.3,63.06,831560678.0,105.10000000000001,2014-05-01,0.06001008572869382,May,2014,61.275000000000006,113.85736260197424,8.69263739802576,3.7352670587255217,0.018589142732940878,0.7707463914932937,0
2014-06,63.36,61.79,67.7,67.6,353763213.0,112.66666666666666,2014-06-01,0.07199492546780828,June,2014,65.33,117.91236260197425,12.747637398025752,4.144830515232197,0.06600250559825105,2.8673179977114502,0
2014-07,62.355,62.21,78.44,75.31,377786323.0,125.51666666666668,2014-07-01,0.11405325443786984,July,2014,71.455,124.03736260197425,18.872637398025752,6.399122596106438,0.09302408995283906,4.331029034767632,0
2014-08,72.65,71.79,76.28,74.55,240559248.0,124.25,2014-08-01,-0.010091621298632392,August,2014,74.92999999999999,127.51236260197425,22.347637398025746,6.952019131158944,0.051980816569618726,2.457196064623383,0
2014-09,76.535,73.07,79.7,79.37,417296000.0,132.28333333333336,2014-09-01,0.0646545942320591,September,2014,76.96,129.54236260197425,24.377637398025747,6.539431932515244,0.027281486466713356,1.4354267658089763,0
2014-10,76.09,70.32,81.0499,74.02,651395529.0,123.36666666666666,2014-10-01,-0.06740582083910807,October,2014,76.695,129.27736260197423,24.112637398025747,4.232948145205669,-0.001375613303524481,0.1873832970167111,0
2014-11,74.09,72.51,78.27,77.47,319326715.0,129.11666666666667,2014-11-01,0.046609024587949355,November,2014,75.74499999999999,128.32736260197424,23.162637398025744,2.231205951946213,-0.010398398125579356,0.6717514421278312,0
2014-12,77.4,74.47,82.17,79.665,347166896.0,132.775,2014-12-01,0.028333548470375725,December,2014,78.5675,131.14986260197423,25.98513739802575,2.63731871414894,0.03747128652916254,1.9958088898992457,0
2015-01,78.12,73.3,79.35,76.0,343477756.0,69.09090909090908,2015-01-01,-0.04600514655118315,January,2015,77.8325,130.41486260197425,25.25013739802575,2.3640695844243296,-0.008835799040403713,0.5197234841729248,0
2015-02,76.0352,74.25,81.37,80.56,186562963.0,73.23636363636363,2015-02-01,0.06000000000000005,February,2015,78.28,130.86236260197424,25.697637398025755,2.664717621062356,0.006997426724408451,0.3164302845823186,0
2015-03,79.83,77.8,85.89,82.91,297144261.0,75.37272727272726,2015-03-01,0.029170804369414105,March,2015,81.735,134.31736260197425,29.152637398025753,2.6921004810371105,0.04458540218470708,2.443053928999716,0
2015-04,82.15,80.87,85.16,81.66,167218958.0,74.23636363636362,2015-04-01,-0.015076589072488211,April,2015,82.285,134.86736260197424,29.70263739802575,2.623124091612946,0.007047107648462947,0.3889087296539007,0
2015-05,78.89,77.05,81.98,79.19,200409272.0,71.99090909090908,2015-05-01,-0.030247367132010816,May,2015,80.425,133.00736260197425,27.84263739802575,2.6539084385110656,-0.022661978102249514,1.3152186130073558,0
2015-06,79.9801,78.66,88.34,86.6,221779361.0,78.72727272727272,2015-06-01,0.0935724207601969,June,2015,82.895,135.47736260197425,30.31263739802575,2.824186608565429,0.03166252681409304,1.74655374953106,0
2015-07,86.74,85.445,99.3,95.92,531066140.0,87.19999999999999,2015-07-01,0.10762124711316412,July,2015,91.25999999999999,143.84236260197423,38.677637398025745,6.533730175022559,0.10059683393668051,5.914948224625545,0
2015-08,93.36,72.0,98.74,90.25,401438166.0,82.04545454545453,2015-08-01,-0.059111759799833186,August,2015,93.085,145.66736260197425,40.50263739802575,6.697382324460831,0.024254743656665467,1.2904698756658672,0
2015-09,89.3777,85.72,96.49,86.039,235506382.0,78.21727272727273,2015-09-01,-0.04665927977839335,September,2015,88.1445,140.72686260197423,35.56213739802575,6.132082044460947,-0.05288551978911327,3.4934610524522856,0
2015-10,89.63,88.36,105.4,101.99,306856219.0,92.7181818181818,2015-10-01,0.18539267076558308,October,2015,94.0145,146.59686260197424,41.43213739802575,6.760082114885898,0.06936669549359487,4.150716805565163,0
2015-11,103.25,101.18,110.65,104.01,312586938.0,94.55454545454545,2015-11-01,0.019805863319933392,November,2015,103.0,155.58236260197424,50.417637398025754,7.6106682492406685,0.10259926704275824,6.353707982351807,0
2015-12,107.15,101.46,107.92,105.2864,271856784.0,95.71490909090909,2015-12-01,0.012271896932987136,December,2015,104.6482,157.23056260197424,52.06583739802576,8.761907739299703,0.016038880126460264,1.1654533967520546,0
2016-01,104.73,89.37,112.84,112.15,491394597.0,86.93798449612403,2016-01-01,0.06518980609081515,January,2016,108.71820000000002,161.30056260197426,56.13583739802578,9.650927480403118,0.03873085151190114,2.8779245994294196,0
2016-02,114.67,98.65,117.59,107.25,454264220.0,83.13953488372093,2016-02-01,-0.043691484618814114,February,2016,109.70000000000002,162.28236260197426,57.11763739802577,3.867822254447605,0.010749160736000518,0.6942374377696966,0
