Transmissibility,Russian Flu,Spanish Flu,Asian Flu,Hong Kong Flu,Swine Flu,Covid-19,Seasonal Flu
Minimum,1.4,1.47,1.53,1.56,1.3,1.4,1.19
Maximum,2.8,2.27,1.7,1.85,1.7,3.9,1.37
average,2.1,1.87,1.62,1.71,1.5,2.65,1.28
